scenario_id,complexity,n_tasks,n_disruptions,total_duration_min,feasible,workday_minutes
SCN_0323,high,20,1,2110,False,600
SCN_0135,low,7,2,665,False,600
SCN_0180,medium,14,1,1380,False,600
SCN_0729,high,17,1,1770,False,600
SCN_0655,medium,12,1,835,False,600
SCN_0107,low,5,1,675,False,600
SCN_0562,high,20,3,1290,False,600
SCN_0716,high,15,3,1620,False,600
SCN_0347,medium,10,3,555,True,600
SCN_0448,medium,13,3,1600,False,600
SCN_0512,low,8,3,1000,False,600
SCN_0051,medium,12,3,1610,False,600
SCN_0063,low,7,1,830,False,600
SCN_0062,medium,14,1,1720,False,600
SCN_0293,medium,12,2,645,False,600
SCN_0454,low,8,2,900,False,600
SCN_0903,medium,11,3,1185,False,600
SCN_0086,low,5,2,335,True,600
SCN_0297,low,5,2,210,True,600
SCN_0362,high,15,2,1355,False,600
SCN_0775,low,6,2,810,False,600
SCN_0905,medium,9,1,690,False,600
SCN_0274,high,17,3,1525,False,600
SCN_0805,high,16,2,1180,False,600
SCN_0856,medium,12,1,1220,False,600
SCN_0081,low,8,2,555,True,600
SCN_0075,low,7,1,785,False,600
SCN_0244,low,8,2,970,False,600
SCN_0453,high,20,2,1885,False,600
SCN_0189,medium,12,3,1170,False,600
SCN_0397,medium,13,1,925,False,600
SCN_0884,low,7,2,815,False,600
SCN_0445,high,18,2,2065,False,600
SCN_0546,medium,11,2,1245,False,600
SCN_0701,low,8,2,560,True,600
SCN_0473,high,17,1,1280,False,600
SCN_0023,medium,13,2,1325,False,600
SCN_0485,low,7,3,735,False,600
SCN_0965,low,7,3,785,False,600
SCN_0252,high,20,2,1880,False,600
SCN_0956,medium,11,2,695,False,600
SCN_0105,low,5,1,545,True,600
SCN_0381,low,7,1,430,True,600
SCN_0367,medium,10,2,730,False,600
SCN_0583,high,19,1,1460,False,600
SCN_0631,high,20,1,1520,False,600
SCN_0771,medium,11,3,1565,False,600
SCN_0882,high,18,1,1445,False,600
SCN_0414,high,20,2,1850,False,600
SCN_0987,low,7,3,360,True,600
SCN_0575,low,6,1,305,True,600
SCN_0909,medium,12,2,1100,False,600
SCN_0892,low,5,2,465,True,600
SCN_0320,medium,11,1,1190,False,600
SCN_0827,low,8,3,710,False,600
SCN_0056,low,5,2,600,True,600
SCN_0060,low,7,1,690,False,600
SCN_0928,medium,14,1,1315,False,600
SCN_0186,high,17,2,1880,False,600
SCN_0420,medium,13,1,1080,False,600
SCN_0119,low,5,1,210,True,600
SCN_0578,low,6,3,675,False,600
SCN_0059,high,16,2,1650,False,600
SCN_0518,high,20,3,2095,False,600
SCN_0629,medium,13,3,1320,False,600
SCN_0851,high,15,2,1275,False,600
SCN_0503,high,19,1,2370,False,600
SCN_0024,high,15,1,1315,False,600
SCN_0696,high,19,3,2275,False,600
SCN_0693,medium,13,3,1480,False,600
SCN_0937,low,8,2,965,False,600
SCN_0425,high,20,2,2000,False,600
SCN_0132,high,18,2,1615,False,600
SCN_0854,high,18,1,1375,False,600
SCN_0344,low,5,3,500,True,600
SCN_0835,high,20,3,1965,False,600
SCN_0049,medium,13,1,1160,False,600
SCN_0123,low,5,1,350,True,600
SCN_0382,low,8,2,495,True,600
SCN_0659,medium,13,2,1730,False,600
SCN_0328,high,20,1,2115,False,600
SCN_0866,medium,11,1,1500,False,600
SCN_0953,high,18,1,1730,False,600
SCN_0165,medium,9,2,590,True,600
SCN_0837,medium,9,1,1140,False,600
SCN_0299,low,6,2,755,False,600
SCN_0338,high,16,2,945,False,600
SCN_0012,low,8,1,855,False,600
SCN_0521,low,5,2,630,False,600
SCN_0767,low,7,1,620,False,600
SCN_0363,high,15,1,1815,False,600
SCN_0037,high,15,1,1640,False,600
SCN_0092,low,8,3,690,False,600
SCN_0983,low,5,2,500,True,600
SCN_0472,high,16,1,1880,False,600
SCN_0053,low,7,2,590,True,600
SCN_0781,low,8,2,1095,False,600
SCN_0148,high,19,2,1875,False,600
SCN_0121,medium,14,1,905,False,600
SCN_0828,high,15,3,1310,False,600
SCN_0144,low,6,2,660,False,600
SCN_0505,high,17,3,1820,False,600
SCN_0638,medium,11,1,1650,False,600
SCN_0261,low,5,3,495,True,600
SCN_0711,medium,9,2,995,False,600
SCN_0439,low,7,2,530,True,600
SCN_0431,low,7,2,410,True,600
SCN_0460,low,5,2,585,True,600
SCN_0337,low,5,1,360,True,600
SCN_0527,medium,9,1,745,False,600
SCN_0528,high,18,3,2595,False,600
SCN_0543,high,15,3,1540,False,600
SCN_0237,low,8,1,690,False,600
SCN_0195,high,15,3,1160,False,600
SCN_0685,medium,14,1,1230,False,600
SCN_0020,low,8,2,710,False,600
SCN_0461,high,15,3,1575,False,600
SCN_0313,medium,12,1,1180,False,600
SCN_0843,high,16,1,1615,False,600
SCN_0099,high,16,1,1655,False,600
SCN_0183,low,6,1,795,False,600
SCN_0030,high,20,2,1255,False,600
SCN_0552,low,7,3,405,True,600
SCN_0411,medium,13,3,1530,False,600
SCN_0170,high,15,1,1680,False,600
SCN_0246,medium,9,3,870,False,600
SCN_0415,medium,12,1,885,False,600
SCN_0326,high,19,2,2365,False,600
SCN_0290,medium,14,2,1220,False,600
SCN_0790,low,6,1,465,True,600
SCN_0251,low,5,3,220,True,600
SCN_0193,low,8,1,850,False,600
SCN_0333,medium,10,3,975,False,600
SCN_0124,low,7,1,620,False,600
SCN_0040,high,20,1,1905,False,600
SCN_0720,low,7,1,615,False,600
SCN_0667,high,15,3,1115,False,600
SCN_0642,medium,9,2,1425,False,600
SCN_0622,high,16,1,1600,False,600
SCN_0566,medium,13,2,1200,False,600
SCN_0378,medium,9,1,1020,False,600
SCN_0804,high,19,1,1840,False,600
SCN_0745,low,5,3,465,True,600
SCN_0620,low,7,2,455,True,600
SCN_0346,medium,14,1,1745,False,600
SCN_0169,high,17,3,1385,False,600
SCN_0536,high,17,2,705,False,600
SCN_0714,medium,9,1,935,False,600
SCN_0968,high,17,1,1910,False,600
SCN_0747,medium,11,2,970,False,600
SCN_0931,high,18,1,1970,False,600
SCN_0358,medium,10,3,820,False,600
SCN_0203,high,15,1,1115,False,600
SCN_0412,low,7,2,900,False,600
SCN_0938,high,20,2,1520,False,600
SCN_0197,medium,11,1,1635,False,600
SCN_0713,high,17,1,1505,False,600
SCN_0688,medium,10,3,600,True,600
SCN_0958,low,5,2,530,True,600
SCN_0498,high,18,1,1405,False,600
SCN_0226,high,15,3,1090,False,600
SCN_0200,medium,11,3,725,False,600
SCN_0995,high,19,3,1220,False,600
SCN_0686,low,5,1,600,True,600
SCN_0147,high,17,1,1685,False,600
SCN_0441,high,19,3,1850,False,600
SCN_0607,high,18,1,1835,False,600
SCN_0944,medium,11,3,780,False,600
SCN_0627,low,6,3,420,True,600
SCN_0537,low,5,3,305,True,600
SCN_0875,high,20,3,2090,False,600
SCN_0266,high,18,3,1860,False,600
SCN_0260,medium,14,2,1745,False,600
SCN_0011,low,7,1,725,False,600
SCN_0389,medium,9,2,965,False,600
SCN_0785,low,5,2,425,True,600
SCN_0913,low,5,1,455,True,600
SCN_0606,medium,11,2,955,False,600
SCN_0526,high,15,3,1360,False,600
SCN_0339,high,17,2,1405,False,600
SCN_0272,medium,10,3,600,True,600
SCN_0700,low,7,1,600,True,600
SCN_0506,medium,13,3,1300,False,600
SCN_0943,low,8,1,620,False,600
SCN_0111,medium,13,2,750,False,600
SCN_0513,high,16,1,1835,False,600
SCN_0579,high,16,1,1330,False,600
SCN_0926,high,16,3,1290,False,600
SCN_0674,low,6,2,480,True,600
SCN_0045,medium,9,2,870,False,600
SCN_0089,medium,10,1,1025,False,600
SCN_0789,medium,11,3,460,True,600
SCN_0748,medium,12,3,855,False,600
SCN_0388,low,5,1,230,True,600
SCN_0619,low,5,3,545,True,600
SCN_0341,high,18,3,1715,False,600
SCN_0100,low,5,3,560,True,600
SCN_0544,high,16,1,1160,False,600
SCN_0558,high,15,1,1470,False,600
SCN_0710,low,8,1,535,True,600
SCN_0930,medium,12,2,920,False,600
SCN_0687,high,20,2,2055,False,600
SCN_0838,low,6,3,460,True,600
SCN_0376,medium,14,3,1535,False,600
SCN_0900,low,6,3,470,True,600
SCN_0106,medium,11,3,965,False,600
SCN_0003,low,8,2,580,True,600
SCN_0777,low,7,2,495,True,600
SCN_0168,low,7,3,545,True,600
SCN_0010,medium,9,1,750,False,600
SCN_0047,medium,11,2,1010,False,600
SCN_0247,medium,14,1,1220,False,600
SCN_0957,low,7,1,215,True,600
SCN_0073,high,20,3,1800,False,600
SCN_0844,high,15,1,1415,False,600
SCN_0329,low,7,1,560,True,600
SCN_0071,medium,9,2,1080,False,600
SCN_0859,low,5,1,330,True,600
SCN_0690,high,17,1,1925,False,600
SCN_0278,high,18,1,1780,False,600
SCN_0396,high,17,1,1660,False,600
SCN_0897,medium,10,1,1235,False,600
SCN_0917,high,16,3,2190,False,600
SCN_0310,low,7,1,885,False,600
SCN_0864,medium,12,3,1500,False,600
SCN_0826,medium,11,3,1260,False,600
SCN_0510,high,19,3,1750,False,600
SCN_0428,high,18,1,2265,False,600
SCN_0556,low,5,1,180,True,600
SCN_0963,medium,14,3,1615,False,600
SCN_0235,medium,13,2,1170,False,600
SCN_0802,high,18,2,2570,False,600
SCN_0533,high,19,2,1665,False,600
SCN_0761,low,5,3,190,True,600
SCN_0353,high,16,2,1540,False,600
SCN_0577,low,8,2,620,False,600
SCN_0140,high,15,1,1080,False,600
SCN_0101,low,6,1,700,False,600
SCN_0356,medium,12,3,710,False,600
SCN_0999,high,15,2,1195,False,600
SCN_0093,low,6,1,1110,False,600
SCN_0179,high,15,2,1295,False,600
SCN_0021,low,7,2,830,False,600
SCN_0820,low,8,1,1190,False,600
SCN_0255,low,5,3,435,True,600
SCN_0644,medium,11,3,1085,False,600
SCN_0616,medium,10,2,505,True,600
SCN_0082,low,8,3,560,True,600
SCN_0590,high,18,2,1735,False,600
SCN_0029,low,5,1,515,True,600
SCN_0793,high,20,2,2110,False,600
SCN_0807,low,7,2,470,True,600
SCN_0695,low,5,1,425,True,600
SCN_0406,high,16,2,1405,False,600
SCN_0206,medium,11,2,1320,False,600
SCN_0572,medium,13,1,1515,False,600
SCN_0715,high,20,1,1660,False,600
SCN_0236,low,5,1,690,False,600
SCN_0803,high,20,1,2245,False,600
SCN_0172,high,15,1,1745,False,600
SCN_0156,low,8,3,505,True,600
SCN_0129,high,18,1,1425,False,600
SCN_0374,medium,14,2,1310,False,600
SCN_0447,medium,14,3,1575,False,600
SCN_0464,medium,9,3,1280,False,600
SCN_0732,low,7,2,945,False,600
SCN_0128,medium,10,2,725,False,600
SCN_0730,low,5,2,395,True,600
SCN_0232,low,5,1,605,False,600
SCN_0816,high,19,3,2490,False,600
SCN_0450,medium,11,2,1065,False,600
SCN_0201,low,6,1,470,True,600
SCN_0855,medium,11,2,1140,False,600
SCN_0230,high,18,3,2105,False,600
SCN_0571,low,7,2,690,False,600
SCN_0567,medium,14,3,2080,False,600
SCN_0145,medium,12,1,1190,False,600
SCN_0942,medium,9,3,865,False,600
SCN_0914,low,6,1,440,True,600
SCN_0796,high,17,1,1920,False,600
SCN_0849,medium,12,1,1470,False,600
SCN_0155,low,7,3,750,False,600
SCN_0940,high,19,1,1785,False,600
SCN_0660,high,19,1,1390,False,600
SCN_0281,high,16,2,1610,False,600
SCN_0309,low,5,3,555,True,600
SCN_0967,low,5,2,415,True,600
SCN_0303,medium,12,2,980,False,600
SCN_0646,medium,12,3,915,False,600
SCN_0847,low,7,3,555,True,600
SCN_0504,medium,10,1,1105,False,600
SCN_0087,high,16,1,1460,False,600
SCN_0724,medium,12,2,1105,False,600
SCN_0975,low,6,2,930,False,600
SCN_0422,low,8,1,500,True,600
SCN_0250,high,20,1,1690,False,600
SCN_0966,medium,11,2,1235,False,600
SCN_0989,low,6,2,590,True,600
SCN_0080,low,7,3,1170,False,600
SCN_0951,high,17,1,1360,False,600
SCN_0167,high,20,1,1620,False,600
SCN_0421,high,17,3,1335,False,600
SCN_0331,medium,13,3,1325,False,600
SCN_0880,low,7,2,705,False,600
SCN_0254,low,7,2,660,False,600
SCN_0895,medium,9,1,885,False,600
SCN_0225,medium,9,2,885,False,600
SCN_0772,low,6,1,420,True,600
SCN_0267,low,8,2,965,False,600
SCN_0532,high,20,2,1650,False,600
SCN_0872,high,17,2,975,False,600
SCN_0090,medium,9,2,565,True,600
SCN_0641,high,19,1,1870,False,600
SCN_0911,medium,11,2,1100,False,600
SCN_0760,medium,14,2,1890,False,600
SCN_0317,high,19,1,970,False,600
SCN_0726,medium,10,2,1425,False,600
SCN_0131,low,5,2,635,False,600
SCN_0282,medium,13,3,1040,False,600
SCN_0663,low,6,2,675,False,600
SCN_0191,low,6,1,620,False,600
SCN_0961,low,8,2,910,False,600
SCN_0731,high,20,3,1500,False,600
SCN_0228,high,19,1,1420,False,600
SCN_0256,medium,13,2,1240,False,600
SCN_0636,low,6,1,545,True,600
SCN_0681,medium,9,2,1130,False,600
SCN_0664,high,19,1,1280,False,600
SCN_0699,low,5,3,210,True,600
SCN_0405,high,16,1,1095,False,600
SCN_0026,medium,9,3,740,False,600
SCN_0908,low,7,2,500,True,600
SCN_0824,high,15,1,1025,False,600
SCN_0234,high,18,1,1565,False,600
SCN_0545,high,20,2,1675,False,600
SCN_0705,medium,14,3,980,False,600
SCN_0683,medium,10,2,590,True,600
SCN_0935,high,16,3,1525,False,600
SCN_0921,medium,12,3,735,False,600
SCN_0108,high,15,2,1120,False,600
SCN_0249,medium,10,1,990,False,600
SCN_0625,high,19,2,2000,False,600
SCN_0654,medium,12,3,1165,False,600
SCN_0288,high,17,2,1630,False,600
SCN_0085,high,18,2,1790,False,600
SCN_0563,high,15,1,1080,False,600
SCN_0432,high,18,2,2295,False,600
SCN_0294,high,18,1,1725,False,600
SCN_0763,low,6,1,380,True,600
SCN_0603,medium,12,3,1430,False,600
SCN_0480,low,5,3,705,False,600
SCN_0442,medium,10,2,1095,False,600
SCN_0986,low,7,3,585,True,600
SCN_0468,low,7,3,930,False,600
SCN_0593,medium,12,3,1280,False,600
SCN_0586,medium,13,2,1215,False,600
SCN_0185,high,17,3,1445,False,600
SCN_0209,medium,12,1,985,False,600
SCN_0870,medium,12,3,1165,False,600
SCN_0192,medium,12,2,1100,False,600
SCN_0737,high,15,2,1175,False,600
SCN_0253,medium,12,2,980,False,600
SCN_0349,medium,10,3,930,False,600
SCN_0007,high,18,1,1685,False,600
SCN_0869,low,7,3,440,True,600
SCN_0886,medium,9,2,935,False,600
SCN_0304,medium,14,3,1740,False,600
SCN_0198,medium,9,1,900,False,600
SCN_0481,high,19,2,1345,False,600
SCN_0509,high,19,2,1635,False,600
SCN_0149,high,18,1,1800,False,600
SCN_0728,medium,13,1,1470,False,600
SCN_0703,medium,9,3,620,False,600
SCN_0722,low,8,3,920,False,600
SCN_0587,medium,12,3,1085,False,600
SCN_0410,low,7,3,595,True,600
SCN_0217,low,8,2,1020,False,600
SCN_0094,medium,13,1,1170,False,600
SCN_0739,low,6,3,585,True,600
SCN_0645,high,20,2,1880,False,600
SCN_0137,high,16,1,1740,False,600
SCN_0709,low,6,3,470,True,600
SCN_0213,high,18,2,1980,False,600
SCN_0559,high,17,2,1485,False,600
SCN_0766,medium,13,1,1725,False,600
SCN_0387,low,8,2,1280,False,600
SCN_0301,low,8,3,495,True,600
SCN_0280,low,6,3,450,True,600
SCN_0692,medium,13,2,1535,False,600
SCN_0825,low,7,2,645,False,600
SCN_0672,medium,11,2,1500,False,600
SCN_0158,medium,10,3,860,False,600
SCN_0391,low,5,2,540,True,600
SCN_0316,high,18,1,1615,False,600
SCN_0653,low,7,2,675,False,600
SCN_0199,medium,9,3,720,False,600
SCN_0881,high,18,3,1910,False,600
SCN_0508,low,6,3,555,True,600
SCN_0380,high,17,3,1465,False,600
SCN_0668,low,8,1,555,True,600
SCN_0159,low,6,2,675,False,600
SCN_0845,high,16,2,1620,False,600
SCN_0164,high,15,3,1530,False,600
SCN_0318,low,6,2,615,False,600
SCN_0220,high,16,1,1050,False,600
SCN_0733,low,5,3,360,True,600
SCN_0263,medium,14,3,1405,False,600
SCN_0981,medium,11,3,675,False,600
